,item,condition,top_rated,reviews,watchers_or_sold,buy_now_extention,delivery,bids
20,"{'title': 'Any Brand 22"" Monitor Desktop Computer PC LCD (Grade B) - Lot(s) available', 'link': 'https://www.ebay.com/itm/254391831963?hash=item3b3aef4d9b:g:C9cAAOSwzY1evXMk&amdata=enc%3AAQAHAAAA4CTNjh5T41ZPhna51dDkMvwRfeB%2FbODXOFghfUAgYBy1OqeCd8RtcKe%2BIOa7tC%2FyTyFc1ZJnuTqf5taleuSEc9H5yRuIrw8DWPn%2FnJYguwWWB3M52iPIvDe2qMqcinlYhir5WND7m4vQ0ORCVUUeVeXc2zcVTIvFzHSHRpau%2BCUqoULWZlE%2FxbVnBAjTivqDdWgM%2FoWJ1L61o1GY2hkJ47qOMuodokNsvqjw9%2FjTJyOZXJ4pGm31LKYV17r2K%2FQyNAIKsgmHkRBGRv%2Fa30Vyr3syeXrY1c3xPJbokeYVhkb5%7Ctkp%3ABFBMtOavz_Bg', 'price': '$42.99'}",Refurbished,False,,Save up to 6% when you buy more,or Best Offer,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
21,"{'title': 'Dell UltraSharp U2412MB 24"" TFT LCD Monitor - Black', 'link': 'https://www.ebay.com/itm/175397256934?hash=item28d67dbee6:g:a8UAAOSw5JZjCpo~&amdata=enc%3AAQAHAAAA4Gz4Et%2FTIvK5B5Qn65CdVP%2BNYPo1rK9m%2FmejBqWZRfwFHH8Ku580wy49%2BLA%2BXM7vmVdz9JbERWLQyXoBuU6zS10TMySJ6KQCgVtKbYK%2F7lULchnEJ2zstP7Yj0etdpq3eNU0g4BVEXQ0dKnsYWSZnUqLIifUK8Dpk0Lo54xwoQgdxtp%2BLQKaRH4oiOKQj4kMGE1N0DqCT4y%2FCSySxY6K5dYPd%2Fy9phOs6h4TF2LJH9k9NMZE6WEkoXAqc5IoL1%2BirlOyBwycQGXbnQK9MWvOUdxEnvzUgFSk0tYc0uTwYMb1%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$45.00'}",Pre-Owned,False,,Save up to 5% when you buy more,Buy It Now,"{'shipping': '+$19.99 shipping', 'location': None}","{'count': None, 'time_left': None}"
22,"{'title': 'Dell UltraSharp HD 22 inch HDMI LCD Monitor Desktop Computer PC With cables', 'link': 'https://www.ebay.com/itm/284333183178?hash=item42339410ca:g:heUAAOSwPkFgx9da&amdata=enc%3AAQAHAAAA4FqQ6JyNUqvUeKUz2YnmGmBZlcd8oB29tL99m5DJDEAiNETQEaM9Ohg7m4CY4tXkoi5IFMR8wlROymIlS%2B5ESfSiYfsXzptfmPRO9LSkK4VXMAuWko6JMrtomRAzmINcrmesS0lCKyY9iRL7A%2BkI9eF726gzxrx9PlVRqTP3oCYKyU5yNKDndmjI4y1ZQTH7dEm3QiilxZieMiKrSm7NUmoWeu5NTo1H36De4wAIu6pjyKe%2FR2x%2FhWi1Vs2dPl53E5jbejxFuHyfLKSdfJgqOMKDb8VhFRWTBf%2B1%2FW7xw82J%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$68.99'}",Refurbished,False,,,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
23,"{'title': 'Dell Professional P2213 22"" Widescreen 1680x1050 LED Backlit LCD Monitor Grade B', 'link': 'https://www.ebay.com/itm/401763956622?epid=1154543747&hash=item5d8aff778e:g:RwEAAOSw3kZjLJyX&amdata=enc%3AAQAHAAAA4NS690poe3otxWSQlL1s2ZSVYRmYrak3VvF1OuyCdX%2FytGKYVPH6Q6Ioh1%2BhSzDjlGrhjKG5P7vJThcC8PbfFmIFBqlLveiuPnbIUsQABeFmbKn9QtuzXa6TUkf8sgi9Re5waIkqH5dgq74PVbr5EIRlM0DOUQcegcC39MmmpaxxSkTkd%2FIfXCb7s77kQectjN%2Fg7bjGcl%2Ft7sCC5UKpfjZcKZpMLIztIfDwHalmOQndudllIsof0Pb3vtxrngYrV1YobF5Ay2afbvUFxivH7vCFk7pD05ANWC34jcDx3fV0%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$59.99'}",Refurbished,False,4,$10 off $120+ with coupon,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
24,"{'title': 'Dell E2216H E2216Hf 21.5"" Widescreen LCD Monitor 1920x1080 *Without Stand*', 'link': 'https://www.ebay.com/itm/394227690093?hash=item5bc9cd2a6d:g:l0cAAOSwRfNjFAzX&amdata=enc%3AAQAHAAAA4AGdFb7I4Xugoyu22Qgd6%2BS6hxsp1MnU5N6JCiI6zIquugjiuBKyc2R%2B1s8NsiBIZlQPzrzcENtahOnHB%2F3EWEssIA%2BheZh98VUPjDFgAnBgkXbAl4P9UtnvIxA3S0bRvDeJXciruQCSHa8oVm%2BXEAJRtEmO%2Bx3GRJJUT8MFcrCe8UYMgUdyGiIx55e5xCxFLyBWcLg%2B7UFHDEhTQDJhVRkoHyXdtwu5kO9kDXZzBdGOJsJwfNsEHvt8m6zj%2FkrIb6580KRz9Z8QItdHzmYNcAdKqNrJn%2Br5DicT9PEtEnLl%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$42.09'}",Pre-Owned,False,,,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
25,"{'title': 'Dell 22"" LCD Flat Screen Monitor for Desktop Computer PC FAST SHIPPING', 'link': 'https://www.ebay.com/itm/334454400090?hash=item4ddf09245a:g:R9QAAOSwixNfWo3R&amdata=enc%3AAQAHAAAA4CLZquqJbKFW4j9qvignOTgcycOlN7PxD5mFWFt2QIRS6MAL%2Ftzkrae6DTVBtR1q26PSKal9LLnAnPAm5cbLW7ufjlIqR1eNb4rjSrrBfyU1r6gxrn%2FkkaQTPyA7IbeNAqXr%2F%2FzqacPX9Q6tBGR6HN4toGr72aZsP0j%2BR7e%2BAgegc4vuunBdrWZaNsA2PYg%2Fr7dSu3Z6u2mU1nol1PFNjUPOigh5rRQMPP2R%2BaCuu3oGjgSQ%2BiSAXMhb1tXU7GUPk%2BI8qm4JrFxdBHQhC6CeJEhErwnkX5d%2FNnXg4Kyo%2BXdF%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$9.99'}",Pre-Owned,False,,Save up to 6% when you buy more,Buy It Now,"{'shipping': '+$29.99 shipping', 'location': None}","{'count': None, 'time_left': None}"
26,"{'title': 'Dell U2722DE 27"" QHD USB-C HUB IPS LCD 60 Hz Monitor', 'link': 'https://www.ebay.com/itm/165680261666?epid=2318183376&hash=item2693502a22:g:M5sAAOSw0AFjJUvS&amdata=enc%3AAQAHAAAAoHqtkjh%2FV%2BRY66AdYZnoRaok6B%2FXGuqACoGe3tdLxYqzLVgTMycyh0jpxjHOjRRIVTyrJn2psyTMSvqD2Lmlz1oROtv5dyNMhYzaMfHR4GkvKk81acL0K7q1FBOyuSYRyyBWpkH317vZdcuQxAh%2FhztjVLWYZtEQlJfJwbCp%2BVi%2FF1IOEAPo5lZEhjC461QHUyKUnlOwqIgPzYzXqYf8bR0%3D%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$359.98'}",Brand New,False,,,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
27,"{'title': 'Dell UltraSharp 24-Inch Monitor U2419H', 'link': 'https://www.ebay.com/itm/155180051037?hash=item242173aa5d:g:EhkAAOSwuLBjMh4D&amdata=enc%3AAQAHAAAAoGTftk%2F66FrEyDzMmWCW5OvQWJpblY6znhuNF66IjwToXZa4iK6T7v7czEfy7cOt2hxSx6M2yp5MOcYIsJvHNWI9QkP2yTh1uuOr3WqPJx737aXldTcFgf0XWmfkFd7VuPRf%2BXMYtj2CwHryfO5oSjARovNbB%2BBm7VzEqNFtacEsYTwuJETthtrxeOMzjeNPv0V2xBWvpOIUj0OhIpO4XlY%3D%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$52.00'}",Pre-Owned,False,,,,"{'shipping': '+$24.00 shipping', 'location': None}","{'count': '16 bids · ', 'time_left': '5d 5h left'}"
28,"{'title': 'DELL SE2722H 27 Inch Widescreen LED FULL HD IPS Monitor', 'link': 'https://www.ebay.com/itm/225065969952?hash=item3466fa2920:g:-9wAAOSwVOpiyGmo&amdata=enc%3AAQAHAAAA4LFEehG7wSTVgbJP%2BZsCbowp3SPu%2FqzTv%2FBVrNBDq2B%2BMWv%2Fh4P5d64trnCrXUdDKy1MwbGOeXfSybkJCClOxbIWIbVzEgHOvw%2BUumdzRv4277IPwAEu4nEt3dG05CS6tA%2F3cMoe5J3DZgAbvKisiIrw0%2Fqp36TpV%2BpwKiaI7YOWi8uFYUKE1KI1kLjSooHmpb1QYDh7IkvGK%2FULuCCJXBxUkpatrhqrPbnz0gYaxssvXYK5SJHFOm3VYnLHwKITRNiqge9FKUAGBvI05UmZyzvsvSsIyjlQTcbIJouvadZX%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$125.00'}",Open Box,False,,,or Best Offer,"{'shipping': 'Free shipping', 'location': None}","{'count': None, 'time_left': None}"
29,"{'title': 'New ListingDell U2410 24"" Widescreen IPS LCD Computer Monitor HDMI-DVI-VGA DisplayPort', 'link': 'https://www.ebay.com/itm/175430428650?hash=item28d877e7ea:g:hIQAAOSwe-xjM3lO&amdata=enc%3AAQAHAAAAoHdjUHgKe8vgVZUugMP4sXZ1uUI90QAfLQ6l56AkCNaZYWuPwcwqbyeRThl%2B1tGf%2B7VnmIrd566hUVuG9%2FEObZOKHmG%2FjcNWHfkTwGvjX3OKYKFhcjUh5C1PI3swhmfQYnpHdl6tXtxQjw3ocMTM9CY%2B0kv5OXyq6Iv7gd4KNohMf1Uuq%2FvpGFHz8affYwkw1%2F8gLXcW5cfc4tHRSLLGrTc%3D%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$79.99'}",Pre-Owned,False,,,Buy It Now,"{'shipping': '+$14.20 shipping', 'location': None}","{'count': None, 'time_left': None}"
